name,symbol,market_cap
Baby Shark Universe,BSU,38394968
Pepecoin,PEP,38377834
Banana Gun,BANANA,38363892
GAME by Virtuals,GAME,38363569
Moonriver,MOVR,38338426
Avalanche Bridged WBTC (Avalanche),WBTC.E,38294433
ao Computer,AO,38287858
Medibloc,MED,38034496
Universal ETH,UNIETH,38022563
BLOCKv,VEE,37982539
Derive,DRV,37958308
Wrapped POL,WPOL,37937275
Looped Hype,LHYPE,37865260
Plume USD,PUSD,37820053
Glidr,GLIDR,37788445
Dogelon Mars,ELON,37755722
Lista USD,LISUSD,37547028
Holoworld,HOLO,37430269
Liquity USD,LUSD,37386161
Electroneum,ETN,37329334
Hydration,HDX,37176415
A Hunters Dream,CAW,37055409
Boundless,ZKC,36859018
Supra,SUPRA,36842910
DevvE,DEVVE,36830867
Bifrost,BFC,36783190
BOTXCOIN,BOTX,36684877
Aria,ARIAIP,36546011
Trevee Plasma USD,PLUSD,36443216
DEAPCOIN,DEP,36385905
Mantle Bridged USDC (Mantle),USDC,36270288
Dymension,DYM,36202575
ResearchCoin,RSC,36189247
Corn,CORN,36188075
QuarkChain,QKC,36152216
BounceBit,BB,36060235
Yield Optimizer ETH,YOETH,35841388
GIGADOT,GDOT,35837980
Black Phoenix,BPX,35789119
Paparazzi Token,PAPARAZZI,35781323
Hive Dollar,HBD,35741286
Hypha Staked AVAX,STAVAX,35659148
Proprietary Trading Network,SN8,35648930
Fractal Bitcoin,FB,35593939
Celo Dollar,CUSD,35548878
Chintai,CHEX,35533061
Savings crvUSD,SCRVUSD,35366917
Bucket Protocol BUCK Stablecoin,BUCK,35245809
Reactive Network,REACT,35241779
Unipoly,UNP,35219229
PinkSale,PINKSALE,35114242
Cross,CROSS,34993820
Moonbeam,GLMR,34988249
Bitcoin on Katana,BTCK,34943715
Standard Bridged USDC.e (Optimism),USDC.E,34897064
Snowbank,SB,34836734
Advertise Coin,ADCO,34825874
WINkLink,WIN,34762068
XT.com,XT,34726564
DarkStar,DARKSTAR,34626904
PunkStrategy,PNKSTR,34540734
Planet IX,IXT,34536884
ZEROBASE,ZBT,34500535
MEDXT,MEDXT,34469116
Tradoor,TRADOOR,34448924
Rujira,RUJI,34431283
ANyONe Protocol,ANYONE,34349820
Cetus Protocol,CETUS,34349146
Renzo,REZ,34308442
Aergo,AERGO,34256588
POL Staked WBERA,SWBERA,34194973
Amiko,AMIKO,34076091
Binance-Peg Avalanche,AVAX,33995248
Hyperlane,HYPER,33954345
Coin98,C98,33939002
Hosky,HOSKY,33918580
Hunt,HUNT,33864448
Global Commercial Business,GCB,33787497
AIntivirus,AINTI,33726458
Sportstensor,SN41,33594437
LOOK,LOOK,33577469
Zerebro,ZEREBRO,33539684
Mango Network,MGO,33440192
Trevee Staked Plasma USD,SPLUSD,33420120
Apertum,APTM,33417455
Solidus Ai Tech,AITECH,33340625
Lorenzo Protocol,BANK,33263582
pippin,PIPPIN,33220020
Tesla xStock,TSLAX,32975021
Autonolas,OLAS,32964040
Dialectic ETH Vault,DETH,32902776
XT Stablecoin XTUSD,XTUSD,32799864
Lorenzo stBTC,STBTC,32723341
Nirvana ANA,ANA,32697805
Gods Unchained,GODS,32516033
Honey,HONEY,32514777
c8ntinuum,CTM,32412175
SynFutures,F,32360797
Victoria VR,VR,32344576
Usual,USUAL,32328115
Pocket Network,POKT,32316564
Adshares,ADS,32313628
Empulser Enterprises,$CPT,32201633
Diverge Loop,DLC,32174117
Ankr Staked ETH,ANKRETH,32174080
Keep Network,KEEP,31986169
Ika,IKA,31918915
Uquid Coin,UQC,31910605
Sceptre Staked FLR,SFLR,31879104
MEET48,IDOL,31867337
BENQI,QI,31817337
Compound USDC,CUSDC,31540425
Radix,XRD,31493272
Defiway,DEFI,31463318
Zeus Network zBTC,ZBTC,31325373
Gradients,SN56,31265532
Alchemix,ALCX,31156384
Kled AI,KLED,31139472
Dacxi,DXI,31131861
Hemi,HEMI,31118014
Huobi,HT,30805544
SSV Network,SSV,30744244
SX Network,SX,30741764
Goldfinch,GFI,30733243
Liqwid Finance,LQ,30676544
Kujira,KUJI,30629900
Celer Network,CELR,30596665
Torch of Liberty,LIBERTY,30249854
Bridged Tether (Rainbow Bridge),USDT.E,30124055
Luckify,LUCK,30091739
Intuition,TRUST,30062660
GXChain,GXC,30030470
BugsCoin,BGSC,29969447
Avail,AVAIL,29944192
Tether Gold Tokens,XAUT0,29907227
Adventure Gold,AGLD,29906069
Metronome Synth ETH,MSETH,29714529
EURA,EURA,29712697
Beets Staked Sonic,STS,29690791
Bertram The Pomeranian,BERT,29686418
Carrot,CRT,29653527
Elastos,ELA,29564428
KernelDAO,KERNEL,29563078
Zircuit,ZRC,29505412
AI Rig Complex,ARC,29469374
Saga,SAGA,29373799
bitcastle Token,BCE,29257902
MetaMask USD,MUSD,29224086
Caliber,CAL50,29135088
StrikeX,STRX,29111203
Wrapped QUIL,QUIL,29018000
τemplar,SN3,29006686
affine,SN120,28965389
SaucerSwap,SAUCE,28897711
Scroll,SCR,28740456
zkSync Bridged USDC (zkSync),USDC,28678229
Pre-SP,PSP,28553332
Artificial Liquid Intelligence,ALI,28429870
Ruby Coin,RUBY,28387932
TruFin Staked APT,TRUAPT,28251701
MARBLEX,MBX,28220397
L2 Standard Bridged USDT (Base),USDT,28167766
Boba Network,BOBA,28151521
Bonk Staked SOL,BONKSOL,28089441
Hegic,HEGIC,28028898
Soneium Bridged USDC (Soneium),USDC.E,28007812
DODO,DODO,27998684
Simon's Cat,CAT,27992686
Wrapped Zedxion,WZEDX,27977984
Yei Finance,CLO,27917534
Uranus,URANUS,27882272
SMARDEX,SDEX,27814598
Surge,SURGE,27739930
infiniFi Locked iUSD (1week),LIUSD,27730702
Wrapped fragSOL,WFRAGSOL,27728091
Capx AI,CAPX,27593068
MAI,MIMATIC,27491269
PepeCoin,PEPECOIN,27468057
DUSK,DUSK,27418019
Predictions,PRDT,27366986
Newton Protocol,NEWT,27365178
Bone ShibaSwap,BONE,27274925
OHO Blockchain,OHO,27154988
HairDAO,HAIR,27070824
Nosana,NOS,26909401
Yield Optimizer USD,YOUSD,26898194
Elephant Money,ELEPHANT,26865319
PONKE,PONKE,26861918
Origin Token,OGN,26719106
Propy,PRO,26676186
stake.link,SDL,26633563
BabyBoomToken,BBT,26607820
Incrypt,INC,26534640
Hashflow,HFT,26348452
Vault Bridge Bridged USDT (Katana),VBUSDT,26329465
Staked Frax USD,SFRXUSD,26282360
Laine Staked SOL,LAINESOL,26232448
Aave USDC (Sonic),ASONUSDC,26195705
Chainflip,FLIP,26189518
Six Sigma,SIX,26157310
Common,COMMON,26151615
Bridged USD Coin (Scroll),USDC,26124936
AVA (Travala),AVA,26025260
Ondo U.S. Dollar Token,USDON,26022397
Hypurr Fun,HFUN,25993820
CAT Terminal,CAT,25815765
CargoX,CXO,25812641
PolySwarm,NCT,25811630
cBAT,CBAT,25780924
PumpMeme,PM,25756624
MovieBloc,MBL,25756183
Foom,FOOM,25725056
MyShell,SHELL,25704776
Wrapped XPL,WXPL,25663493
Apu Apustaja,APU,25661899
SuperRare,RARE,25623377
Dogs,DOGS,25607473
Vanar Chain,VANRY,25576750
OlaXBT,AIO,25573072
Etherlink Bridged USDC (Etherlink),USDC,25549342
OpenServ,SERV,25530373
Infrared BGT,IBGT,25503596
Bitcoin Limited Edition,BTCLE,25440684
OmniBridge Bridged Zcash (Solana),ZEC,25406830
SPDR S&P 500 ETF (Ondo Tokenized ETF),SPYON,25365764
Tree,TREE,25346214
World of Dypians,WOD,25346076
PAAL AI,PAAL,25332257
ROAM Token,ROAM,25244766
Aster Staked USDF,ASUSDF,25155354
dogi,DOGI,25084019
TCY,TCY,25059295
Dolomite,DOLO,25004722
MakerDAO Arbitrum Bridged DAI (Arbitrum One),DAI,24971191
Rei,REI,24935121
Shardus,ULT,24934519
ynBNB MAX,YNBNBX,24904080
My Neighbor Alice,ALICE,24893923
Puffer,PUFFER,24883005
Monerium EUR emoney,EURE,24882751
Marina Protocol,BAY,24880231
ZERA,ZERA,24872287
Stables Labs Staked USDX,SUSDX,24805456
0xy,0XY,24796666
Injective Bridged USDT (Injective),USDT,24697331
Thought,THT,24647583
Gearbox,GEAR,24639003
USUALx,USUALX,24636438
MAP Protocol,MAPO,24627434
Storj,STORJ,24618191
Hey Anon,ANON,24552529
CorgiAI,CORGIAI,24543336
Neutron,NTRN,24541038
Arena-Z,A2Z,24482411
Solv Protocol,SOLV,24408921
Stader,SD,24306550
Syscoin,SYS,24164675
Gyroscope GYD,GYD,24164643
Worthless,WORTHLESS,24160644
Botanix Pegged Bitcoin,PBTC,24108407
Midas XRP,MXRP,24080804
L2 Standard Bridged WETH (Blast),WETH,24020762
Ski Mask Dog,SKI,24006914
Humans.ai,HEART,23961916
Ping,PING,23926729
Quack AI,Q,23912227
MetaArena,TIMI,23798041
EGL1,EGL1,23797394
Ampleforth Governance,FORTH,23773035
PePeonTron,PEPEONTRON,23767569
Gnosis xDai Bridged WETH (Gnosis Chain),WETH,23697405
PIVX,PIVX,23692521
Maverick Protocol,MAV,23527400
Treehouse,TREE,23513092
Ozapay,OZA,23501963
Unity,UTY,23478781
Catizen,CATI,23437895
Metadium,META,23424858
Elixir,ELX,23400456
Oraichain,ORAI,23345664
Stader MaticX,MATICX,23307559
Polyhedra Network,ZKJ,23301776
Build On BNB,BOB,23233362
MORI COIN,MORI,23227003
Everlyn,LYN,23210541
USDu,USDU,23207505
Banana For Scale,BANANAS31,23204261
Bluefin,BLUE,23195452
Access Protocol,ACS,23039389
Particle Network,PARTI,22893902
FUNToken,FUN,22828877
Hylo Leveraged SOL,XSOL,22813474
Aquarius,AQUA,22767971
Unit Fartcoin,UFART,22733483
The Innovation Game,TIG,22722016
Fusionist,ACE,22699373
Loan Protocol,LOAN,22649902
XION,XION,22520123
MetaMUI,MMUI,22493369
WalletConnect Token,WCT,22406568
Hylo Staked SOL,HYLOSOL,22359508
TrueFi,TRU,22359249
NAVI Protocol,NAVX,22301187
Harmony Horizon Bridged USDC (Harmony),1USDC,22253963
OpenKaito,SN5,22226350
Qkacoin,QKA,22149359
sDOLA,SDOLA,22021466
Minswap,MIN,22007730
McDull (Meme),MCDULL,21964790
Phoenix,PHB,21930030
401jK,401JK,21884657
Initia,INIT,21882307
DIAM,DIAM,21866864
Metronome Synth USD,MSUSD,21807824
Just a chill guy,CHILLGUY,21771024
Tribe,TRIBE,21662681
Abelian,ABEL,21659192
Electronic USD,EUSD,21610250
Enso,ENSO,21609145
Mobox,MBOX,21605818
Unit Solana,USOL,21473034
Epic Chain,EPIC,21462396
Nest Basis Vault,NBASIS,21462221
iShares Core S&P 500 ETF (Ondo Tokenized ETF),IVVON,21442611
Staked YUSD,SYUSD,21404218
USDH,USDH,21390410
Camp Network,CAMP,21375403
ArAIstotle,FACY,21360496
Towns,TOWNS,21336082
Bridged Tether (Avalanche),USDTE,21326717
Daydreams,DREAMS,21296026
Invesco QQQ ETF (Ondo Tokenized ETF),QQQON,21260705
OpenEden,EDEN,21223936
Thala APT,THAPT,21197422
Ket,KET,21134531
cDAI,CDAI,21120038
1 Coin Can Change Your Life,1-COIN-CAN-CHANGE-YOUR-LIFE,21084477
MonbaseCoin,MBC,21068778
TARS AI,TAI,21068689
Memetern,MXT,20993184
Score,SN44,20985110
Radworks,RAD,20974054
LUKSO,LYX,20960271
Thales,THALES,20956414
INFINIT,IN,20956134
TruFin Staked NEAR,TRUNEAR,20947069
ynETH MAX,YNETHX,20907825
Klever,KLV,20843852
Redbelly Network,RBNT,20814073
Thena,THE,20735202
Liquid HYPE Yield,LIQUIDHYPE,20663364
Cudos,CUDOS,20634863
AITV,AITV,20525949
tao.bot,TAOBOT,20472574
HOPR,HOPR,20460300
Ninja Squad Token,NST,20451757
AllUnity EUR,EURAU,20416171
Mango,MNGO,20305737
Kofi Aptos,KAPT,20279996
Overtime,OVER,20235929
Luna by Virtuals,LUNA,20224451
NATIX Network,NATIX,20206860
DexTools,DEXT,20197760
AdEx,ADX,20193917
Inverse Finance,INV,20063041
EquitEdge,EEG,20019981
Santos FC Fan Token,SANTOS,19967427
Maya Protocol,CACAO,19935002
Midas mRe7YIELD,MRE7YIELD,19928168
Coinmetro,XCM,19917210
TokenFi,TOKEN,19914104
BNB Attestation Service,BAS,19891425
Everscale,EVER,19889634
Lisk Bridged wstETH (Lisk),WSTETH,19874113
R0AR Token,1R0R,19838091
Gnosis xDAI Bridged USDC (Gnosis),USDC,19835006
Vestra DAO,VSTR,19832962
Cofinex,CNX,19819836
GoPlus Security,GPS,19782569
NFPrompt,NFP,19743025
Helium Mobile,MOBILE,19742428
Lido Staked SOL,STSOL,19739205
DAO Maker,DAO,19714154
Coq Inu,COQ,19675336
PinLink,PIN,19672242
Alpha Quark,AQT,19614183
Mito,MITO,19595271
Manyu,MANYU,19546754
CONX,CONX,19542295
Quantum Compute,SN48,19531737
UXLINK,UXLINK,19531434
ARTDRA Coin,ARTDRA,19476652
Mossland,MOC,19462030
Velvet,VELVET,19453928
Hamster Kombat,HMSTR,19395719
noice,NOICE,19389097
Turtle,TURTLE,19347367
Port3 Network,PORT3,19281475
Bityuan,BTY,19252809
Aria.AI,ARIA,19238855
LimeWire,LMWR,19227917
